VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,03/05/2018 05:55:10 PM,03/05/2018 06:03:02 PM,1,1.21,1,N,161,234,1,7,1,0.5,1.76,0,0.3,10.56
1,03/05/2018 05:00:01 PM,03/05/2018 05:10:33 PM,1,1.1,1,N,233,230,1,8,1,0.5,1.95,0,0.3,11.75
1,03/05/2018 05:12:37 PM,03/05/2018 05:39:40 PM,1,6.1,1,N,230,88,1,22.5,1,0.5,4.85,0,0.3,29.15
1,03/05/2018 05:53:04 PM,03/05/2018 06:06:03 PM,1,2.9,1,N,261,246,1,12,1,0.5,2,0,0.3,15.8
2,03/05/2018 05:32:12 PM,03/05/2018 05:53:40 PM,1,4.12,1,N,231,142,1,17,1,0.5,1.2,0,0.3,20
2,03/05/2018 05:00:04 PM,03/05/2018 05:14:13 PM,2,1.46,1,N,170,246,1,10,1,0.5,2,0,0.3,13.8
2,03/05/2018 05:21:01 PM,03/05/2018 05:31:22 PM,2,1.06,1,N,246,164,2,7.5,1,0.5,0,0,0.3,9.3
2,03/05/2018 05:38:06 PM,03/05/2018 05:45:38 PM,2,0.84,1,N,230,229,2,6.5,1,0.5,0,0,0.3,8.3
2,03/05/2018 05:47:36 PM,03/05/2018 05:55:23 PM,3,1.45,1,N,229,137,1,7.5,1,0.5,1.86,0,0.3,11.16
2,03/05/2018 04:58:27 PM,03/05/2018 05:18:09 PM,6,3.4,1,N,238,41,1,14.5,1,0.5,3.26,0,0.3,19.56
2,03/05/2018 05:55:18 PM,03/05/2018 06:25:41 PM,1,10.89,1,N,138,64,2,31.5,1,0.5,0,0,0.3,33.3
2,03/05/2018 05:08:18 PM,03/05/2018 05:28:19 PM,1,3.29,1,N,142,140,1,14.5,1,0.5,3.26,0,0.3,19.56
2,03/05/2018 05:39:30 PM,03/05/2018 05:47:11 PM,1,1.2,1,N,141,162,1,7,1,0.5,1.76,0,0.3,10.56
2,03/05/2018 05:55:04 PM,03/05/2018 05:59:48 PM,1,0.8,1,N,170,107,1,5,1,0.5,1,0,0.3,7.8
1,03/05/2018 05:39:31 PM,03/05/2018 05:42:52 PM,1,0.9,1,N,166,24,1,5,1,0.5,1.35,0,0.3,8.15
1,03/05/2018 05:47:03 PM,03/05/2018 05:58:42 PM,1,2,1,N,238,142,1,10.5,1,0.5,3,0,0.3,15.3
1,03/05/2018 05:58:02 PM,03/05/2018 06:30:27 PM,1,9.6,1,N,138,48,1,32.5,1,0.5,10,5.76,0.3,50.06
2,03/05/2018 05:26:47 PM,03/05/2018 05:32:23 PM,3,1.05,1,N,237,141,1,6,1,0.5,1.56,0,0.3,9.36
2,03/05/2018 05:37:00 PM,03/05/2018 05:40:38 PM,3,0.64,1,N,263,263,1,4.5,1,0.5,1.58,0,0.3,7.88
2,03/05/2018 05:46:19 PM,03/05/2018 05:56:56 PM,2,1.8,1,N,236,239,2,9,1,0.5,0,0,0.3,10.8
2,03/05/2018 05:04:45 PM,03/05/2018 05:09:42 PM,6,0.62,1,N,234,186,2,5,1,0.5,0,0,0.3,6.8
2,03/05/2018 05:33:04 PM,03/05/2018 05:48:58 PM,6,1.9,1,N,170,142,1,11.5,1,0.5,3.32,0,0.3,16.62
2,03/05/2018 05:52:39 PM,03/05/2018 06:00:37 PM,6,1.32,1,N,142,239,1,7.5,1,0.5,2.32,0,0.3,11.62
1,03/05/2018 05:25:54 PM,03/05/2018 05:43:45 PM,2,4,1,N,75,42,1,16,1,0.5,2,0,0.3,19.8
1,03/05/2018 05:44:36 PM,03/05/2018 05:56:09 PM,1,1.1,1,N,42,116,1,8.5,1,0.5,2.05,0,0.3,12.35
2,03/05/2018 05:11:38 PM,03/05/2018 05:22:29 PM,3,1.54,1,N,79,90,2,8.5,1,0.5,0,0,0.3,10.3
2,03/05/2018 05:43:09 PM,03/05/2018 06:16:01 PM,3,9.64,1,N,249,262,1,33,1,0.5,0,0,0.3,34.8
1,03/05/2018 05:08:09 PM,03/05/2018 05:26:59 PM,1,2.4,1,N,113,163,2,13,1,0.5,0,0,0.3,14.8
1,03/05/2018 05:28:54 PM,03/05/2018 05:38:36 PM,1,0.8,1,N,163,143,2,7.5,1,0.5,0,0,0.3,9.3
1,03/05/2018 05:43:26 PM,03/05/2018 05:47:16 PM,2,0.5,1,N,143,142,2,4.5,1,0.5,0,0,0.3,6.3
1,03/05/2018 05:49:07 PM,03/05/2018 05:53:59 PM,1,0.8,1,N,142,50,1,5.5,1,0.5,2,0,0.3,9.3
2,03/05/2018 05:04:20 PM,03/05/2018 05:09:04 PM,1,0.55,1,N,107,113,1,5,1,0.5,1,0,0.3,7.8
